reward,latency,energy,completion,agree,syncs,scenario,method,tau,sync_mode,predictor,eps
-3608.9041999273686,0.23057125394808872,345.90804792116745,1.0,1.0,101.0,k3,pmeo_m_eco,1,fixed,linear,0.0
-3317.7852491272292,0.21655217747261907,341.6914401687249,1.0,1.0,101.0,k3,pmeo_m_eco,1,fixed,linear,0.0
-3817.2068043920503,0.24657285301564244,352.85254012274135,1.0,1.0,101.0,k3,pmeo_m_eco,1,fixed,linear,0.0
-3403.5384155480797,0.22219601630865501,347.3873237393938,1.0,1.0,101.0,k3,pmeo_m_eco,1,fixed,linear,0.0
-3690.825752625578,0.23863712513668753,357.7641442847162,1.0,1.0,101.0,k3,pmeo_m_eco,1,fixed,linear,0.0
-5485.6074370134065,0.29031331130942106,358.0954933535788,0.8954642438317768,0.8046666666666666,51.0,k3,pmeo_m_eco,2,fixed,linear,0.0
-5075.546839504104,0.2753020252222541,355.06510870607804,0.8898533852844727,0.8121960784313724,51.0,k3,pmeo_m_eco,2,fixed,linear,0.0
-5871.697988551566,0.31364067877015855,365.30526823755747,0.8928274230809041,0.793607843137255,51.0,k3,pmeo_m_eco,2,fixed,linear,0.0
-5226.495902841207,0.2836520997986298,358.70193868195963,0.889272991819257,0.8106078431372549,51.0,k3,pmeo_m_eco,2,fixed,linear,0.0
-5638.208829461715,0.3037567749665036,366.4927713254733,0.8886339199044485,0.7973529411764706,51.0,k3,pmeo_m_eco,2,fixed,linear,0.0
-6064.156168000711,0.30949494752217016,369.31935637643653,0.8617728137631465,0.7426274509803922,34.0,k3,pmeo_m_eco,3,fixed,linear,0.0
-5661.5111086818915,0.29431794575717873,364.895853202811,0.8555861472177669,0.7513529411764706,34.0,k3,pmeo_m_eco,3,fixed,linear,0.0
-6422.610341415216,0.33414628648886124,376.6428032202409,0.8607018477578675,0.7261176470588236,34.0,k3,pmeo_m_eco,3,fixed,linear,0.0
-5815.55010500447,0.3017215508871272,363.70195480120543,0.857176094392074,0.7462156862745098,34.0,k3,pmeo_m_eco,3,fixed,linear,0.0
-6379.355716679631,0.3271347216461381,377.68636284325487,0.8501838149170569,0.7288627450980392,34.0,k3,pmeo_m_eco,3,fixed,linear,0.0
-6769.302715415094,0.33320181689854295,391.73449232525695,0.8224228625120503,0.6838039215686275,21.0,k3,pmeo_m_eco,5,fixed,linear,0.0
-6263.59799665872,0.3182691391255288,376.25387118524105,0.8126329417816018,0.6936078431372549,21.0,k3,pmeo_m_eco,5,fixed,linear,0.0
-7058.525613675391,0.3550242122674919,387.02131111181535,0.8289085161114051,0.6630784313725491,21.0,k3,pmeo_m_eco,5,fixed,linear,0.0
-6380.746616020946,0.32246048721206994,369.9813123938968,0.8231308338497773,0.6914901960784313,21.0,k3,pmeo_m_eco,5,fixed,linear,0.0
-6877.166586073062,0.34472112978978037,390.88824145182673,0.8197997313452919,0.6743921568627451,21.0,k3,pmeo_m_eco,5,fixed,linear,0.0
-7561.353623547399,0.37116853320100157,411.9410422229245,0.7777026872593121,0.6164509803921568,11.0,k3,pmeo_m_eco,10,fixed,linear,0.0
-7154.276836817228,0.3583020416591573,417.36424355525276,0.759957208162012,0.634313725490196,11.0,k3,pmeo_m_eco,10,fixed,linear,0.0
-8066.40193987563,0.39223730230989057,419.91698095187996,0.7869767473786268,0.5978431372549019,11.0,k3,pmeo_m_eco,10,fixed,linear,0.0
-7185.71326217992,0.3556247716591602,408.26926718202606,0.7812303935494416,0.6341960784313725,11.0,k3,pmeo_m_eco,10,fixed,linear,0.0
-7858.868966312939,0.38027039091711157,414.89972635668084,0.7794400405033433,0.6089019607843137,11.0,k3,pmeo_m_eco,10,fixed,linear,0.0
-4351.5540520647355,0.24120287069669474,454.1941151159307,1.0,0.9705882352941175,101.0,k3,current_exact_m,1,fixed,linear,0.0
